school,url
Long Island University–Arnold & Marie Schwartz College of Pharmacy & Health Sciences,http://www.liu.edu/pharmacy/
Long Island University–Brentwood Campus,http://www.liu.edu/brentwood/
Long Island University–Brooklyn Campus,http://www.liu.edu/brooklyn/
Long Island University–C.W. Post Campus,http://www.liu.edu/cwpost/
Long Island University–Hudson,http://www.liu.edu/hudson/
Long Island University–Riverhead,http://www.liu.edu/riverhead/
Longwood University,http://www.longwood.edu/
Longy School of Music of Bard College,http://longy.edu/
Loras College,http://loras.edu/
Louisiana College,http://www.lacollege.edu/
Louisiana State University,http://www.lsu.edu/
Louisiana State University–Alexandria,http://www.lsua.edu/
Louisiana State University–Law Center,http://www.law.lsu.edu/
Louisiana State University Health Sciences Center–New Orleans,http://www.lsuhsc.edu/
Louisiana State University Health Sciences Center–Shreveport,http://www.lsuhscshreveport.edu/Education/
Louisiana State University–Shreveport,http://www.lsus.edu/
Louisiana State University System,http://www.lsusystem.edu/
Louisiana Tech University,http://www.latech.edu/
Louisville Presbyterian Theological Seminary,http://www.lpts.edu/
Lourdes University,http://www.lourdes.edu/
Loyola University Maryland,http://www.loyola.edu/
Loyola Marymount University,http://www.lmu.edu/
Loyola University Chicago,http://www.luc.edu/
Loyola University New Orleans,http://www.loyno.edu/
Lubbock Christian University,http://www.lcu.edu/
Luther College,http://www.luther.edu/
Luther Seminary,http://www.luthersem.edu/
Lutheran School of Theology at Chicago,http://www.lstc.edu/
Lutheran Theological Seminary at Gettysburg,http://www.ltsg.edu/
Lutheran Theological Seminary at Philadelphia,http://ltsp.edu/
Lycoming College,http://www.lycoming.edu/
Lyme Academy College of Fine Arts,http://www.lymeacademy.edu/
Lynchburg College,http://www.lynchburg.edu/
Lyndon State College,http://lyndonstate.edu/
Lynn University,http://www.lynn.edu/
Lyon College,http://www.lyon.edu/
Naropa University,http://www.naropa.edu/
National American University,http://www.national.edu/
National College of Natural Medicine,http://www.ncnm.edu/
National Defense University,http://www.ndu.edu/
National Graduate School of Quality Management,http://ngs.edu/
National Hispanic University,http://www.nhu.edu/
National Intelligence University,http://www.ni-u.edu/
National Labor College,http://www.nlc.edu/
National-Louis University,http://www.nl.edu/
National University,http://www.nu.edu/
National University of Health Sciences,http://www.nuhs.edu/
Navajo Technical University,http://www.navajotech.edu/
Naval Postgraduate School,http://www.nps.navy.mil/
Nazarene Bible College,http://www.nbc.edu/
Nazareth College,http://www.naz.edu/
Nebraska Christian College,http://nechristian.edu/
Nebraska Methodist College,http://www.methodistcollege.edu/
Nebraska Wesleyan University,https://www.nebrwesleyan.edu/
